----- Timeout policy/DPM -----
1.42386 0.0817548 0
1.92502 0.337976 0
1.62243 0.128054 0
1.47611 0.0259961 0
1.60592 0.145345 0
0.905184 0.345183 0
1.00423 0.251609 0
----- Timeout policy/DPM extended -----
1.41854 0.0713421 0.0157289
1.61911 0.482311 0.161569
1.35902 0.31535 0.0761169
1.46963 0.0298165 0.00265249
1.45718 0.233404 0.0606796
0.52584 0.724527 0
0.724238 0.531606 4.61538e-07
----- History policy -----
1.25402 0.158989 0.0926074
1.42386 0.690955 0.148177
1.25402 0.306532 0.189935
1.46726 0.033598 0.00124296
1.25402 0.365768 0.131478
0.296943 0.855637 0.0977871
0.482588 0.773256 0
----- History policy Weilbull2 -----
1.25402 0.103598 0.147998
1.25402 0.264276 0.744698
1.25402 0.0584079 0.438059
1.25402 0.109589 0.138495
1.25402 0.107249 0.389997
0.296571 0.238449 0.715347
0.457386 0.199615 0.598843
